1112706045	4		
1212705013	7	6	4
1212705015	7	6	4
1212705019	10		
1212705026	0		
1312703050			
1312705003			
1312705006			
1312705008			
1312705316	7	4	
1412705001			
1412705004			
1412705005			
1412705022			
1412705028	5	5	4
1412705045	7		
1412705056			
1412706016			
1412706017	3	2	
1412710002			
1512705005			
1512705015			
1512705020			
1512705030			
1512705033			
1512705050	10	10	
1512705064	7		10
1512705065	7		10
1512705066	7		10
1512706002			
1512706005			
1512706006	8	10	8
1512706007			
1512706008			
1512706009	7		8
1512706010	10	10	
1512706011	7	4	
1512706012			
1512706014			
1512706015			
1512706016			6
1512706018			
1612705006			
1612705007			
1612705009	7		
1612705012			
1612705013			
1612705015			
1612705024	7	10	8
1612705032	7		
1612705035	4		
1612705040			
1612705045	4		
1612705046			
1612705047	7		
1612705048	0		10
1612705056			
1612705073	9		8
1612705076	4	6	6
1622705034			
