1222705020			
1222706009			
1222706026			
1322705013			
1322705040			
1322705052			
1322706004	2		
1322706019			
1422705008			
1422705017			
1422705020	0		10
1422705045			
1422705056			
1422706014			
1522705001			
1522705003			
1522705009			
1522705011			
1522705012	5	8	
1522705013	5	0	
1522705026			
1522705031			
1522705044			
1522705046			
1522705047			
1522705048	5	4	
1522705051	5	5	
1522705319	4		
1522706002	7		2
1522706003			
1522706004	1		
1522706006	7	9	8
1522706008	7		
1522706009	3		9
1522706013	5	6	
1522706015	7		5
1522706017	1		
1622705003	10	7	10
1622705009	10	10	10
1622705010	0		
1622705013			
1622705017	0		
1622705019	10	7	10
1622705021			
1622705027	6	0	
1622705029	10	2	
1622705033	10	4	
1622705036	5	9	8
1622705040	5	9	9
1622705044			
1622705049	7	5	8
1622705054	5	2	
1622705059	10	4	
1722705012	1	0	
