1	1112706045	20
2	1212705013	55
3	1212705015	53
4	1212705019	10
5	1212705026	
6	1312703050	
7	1312705003	
8	1312705006	
9	1312705008	20
10	1312705316	59
11	1412705001	25
12	1412705004	20
13	1412705005	0
14	1412705022	
15	1412705028	35
16	1412705056	
17	1412706016	0
18	1412706017	
19	1412710002	
20	1512705005	
21	1512705015	25
22	1512705030	25
23	1512705033	
24	1512705050	63
25	1512705065	70
26	1512705066	80
27	1512706002	35
28	1512706005	
29	1512706007	65
30	1512706008	30
31	1512706010	75
32	1512706011	60
33	1512706012	
34	1512706014	40
35	1512706015	72
36	1612705006	40
37	1612705009	0
38	1612705012	25
39	1612705015	7
40	1612705024	20
41	1612705032	10
42	1612705035	22
43	1612705040	
44	1612705045	0
45	1612705046	0
46	1612705047	60
47	1612705056	
48	1612705073	68
49	1612705076	30
50	1622705034	
